AARON,542
ABBIE,38
ABBOTT,778
ABBRA,17
ABBY,293
ABE,900
ABEL,558
ABENI,843
ABIA,132
ABIBA,244
ABIE,635
ABIGAIL,463
ABNER,242
ABRAHAM,329
ABRAM,949
ABRIANNA,141
ABRIENDA,937
ABRIL,276
ABSOLOM,77
ABU,534
ACACIA,526
ACE,833
ADA,526
ADAH,472
ADAIR,187
ADALIA,606
ADAM,551
ADAMINA,41
ADAMMA,21
ADARA,351
ADDISON,65
ADE,695
ADELA,520
ADELAIDE,449
ADELE,915
ADELINE,508
ADELIO,641
ADELLE,267
ADEM,340
ADEN,113
ADERES,989
ADIE,501
ADIEL,829
ADILA,891
ADINA,81
ADITA,82
ADLAI,185
ADLI,20
ADOLFO,605
ADOLPH,979
ADONAI,976
ADONIA,108
ADORA,288
ADRIAN,232
ADRIANA,351
ADRIANO,932
ADRIENNE,207
ADY,610
AELAN,603
AFFRICA,294
AFRA,530
AFRIC,212
AFRICA,744
AFTON,425
AGAMEMNON,998
AGATHA,256
AGGIE,24
AGNES,209
AH CY,335
AHAVA,841
AI,698
AIDA,125
AIDAN,942
AIKO,133
AILEEN,536
AILIS,448
AILISH,73
AIMEE,993
AINE,731
AINSLEY,185
AISLING,801
AISLINN,229
AIZZA,120
AJA,798
AJANI,584
AJAY,637
AKILI,112
AKUJI,242
AL,525
ALAIR,209
ALAKE,485
ALAN,380
ALANA,466
ALANNA,339
ALASTAIR,529
ALAURA,192
ALBAN,60
ALBANY,38
ALBERT,33
ALBERTA,773
ALBERTO,788
ALBIN,389
ALBINA,976
ALDA,228
ALDAN,285
ALDEN,269
ALDON,57
ALDONA,786
ALEC,574
ALEJANDRO,967
ALEM,410
ALENA,1000
ALETA,280
ALETHA,395
ALETHEA,736
ALETTA,856
ALEX,850
ALEXA,949
ALEXANDER,506
ALEXANDRA,784
ALEXANDRIA,913
ALEXIA,423
ALEXIS,925
ALFONSO,662
ALFRED,453
ALGERON,369
ALI,75
ALIA,268
ALICE,915
ALICIA,153
ALIJAH,509
ALIKA,464
ALIMA,320
ALINA,473
ALISHA,295
ALISON,839
ALISSA,623
ALIZE,958
ALKA,827
ALLEGRA,907
ALLEN,823
ALLENE,667
ALLIE,274
ALLISON,595
ALLYSON,27
ALMA,189
ALMEDA,112
ALOHILANI,965
ALPHONSE,117
ALSATIA,709
ALTHEA,368
ALVA,692
ALVIN,920
ALYN,104
ALYSON,744
ALYSSA,136
AMADEUS,113
AMADOR,188
AMALIA,647
AMALIE,534
AMAN,612
AMANA,793
AMANDA,680
AMANDLA,86
AMARA,760
AMARANTA,925
AMARANTE,841
AMARANTH,401
AMARIS,51
AMARYLLIS,635
AMAYA,830
AMBER,442
AMBROSE,662
AMELIA,423
AMENA,637
AMI,668
AMIEL,992
AMINA,811
AMIR,440
AMIRI,481
AMITY,240
AMMA,610
AMORINA,587
AMOS,731
AMY,687
AN,746
ANA,934
ANAIS,223
ANALIESE,679
ANALISE,970
ANANA,984
ANANDO,654
ANASTASIA,127
ANATOLA,358
ANATOLE,619
ANDE,102
ANDRA,972
ANDRALYN,117
ANDRE,184
ANDREA,199
ANDREAS,125
ANDRES,555
ANDREW,657
ANDY,147
ANEMONE,296
ANEVAY,863
ANGEL,109
ANGELA,363
ANGELICA,319
ANGELINA,64
ANGELO,975
ANGIE,738
ANGUS,47
ANI,466
ANIKA,141
ANILA,437
ANISA,668
ANITA,504
ANITRA,821
ANJA,362
ANLON,690
ANN,496
ANNA,946
ANNALISE,952
ANNAMIKA,887
ANNE,610
ANNEKE,134
ANNETTE,104
ANNICE,870
ANNICK,122
ANNIS,997
ANNISSA,275
ANNORA,627
ANTHEA,540
ANTHONY,985
ANTIONETTE,591
ANTOINETTE,75
ANTONIA,933
ANTONIE,51
ANTONY,863
ANWAR,437
ANYA,85
AOKO,400
AOLANI,946
APHRODITE,3
APOLLO,522
APPOLLO,553
APRIA,262
APRIL,762
ARABELA,55
ARABELLA,103
ARAM,184
ARAN,928
ARCHIBALD,670
ARCHIE,238
AREN,496
ARETHA,740
ARGUS,643
ARI,810
ARIA,496
ARIANA,978
ARIEL,488
ARIELLA,319
ARIELLE,977
ARIEN,232
ARISSA,410
ARISTA,10
ARIZA,486
ARLEN,463
ARLENE,74
ARLO,196
ARLYNDA,880
ARMAND,820
ARMANDE,437
ARMANDO,98
ARMINA,344
ARNAUD,953
ARNE,186
ARNIE,984
ARNOLD,169
ARON,596
ART,131
ARTEMIS,754
ARTHUR,766
ARTIE,473
ARTY,696
ARVID,620
ARVIN,780
ASA,59
ASABI,178
ASALIE,734
ASASIA,577
ASH,98
ASHA,834
ASHBY,635
ASHLEY,138
ASHLING,314
ASHLYN,946
ASHTON,491
ASHTYN,910
ASIS,295
ASLI,398
ASNEE,647
ASTA,586
ASTHORE,79
ASTIN,973
ASTRA,149
ASTRID,178
ATALO,878
ATHALIA,493
ATHENA,78
ATIRA,509
AUBERTA,392
AUBREY,916
AUBRIANNA,836
AUDI,62
AUDRA,857
AUDREY,253
AUGUST,737
AUGUSTIN,381
AUGUSTUS,263
AULII,135
AURE,896
AURELIA,638
AURORA,730
AURORETTE,452
AUSTIN,519
AUTUMN,801
AVA,715
AVALON,648
AVEL,662
AVELINE,97
AVERY,750
AVI,921
AVIS,795
AVIV,283
AVIVA,647
AVONGARA,222
AXEL,396
AXELLE,730
AYA,213
AYAME,95
AYANNA,265
AYLA,205
AYOKA,611
AYSHA,160
AZANA,699
AZIZA,829
AZIZE,722
AZRA,483
AZRIEL,51
AZUKA,292
AZURA,240
BABA,224
BABETTE,401
BAHARI,464
BAILEY,621
BAIRD,517
BAIRN,963
BAKULA,350
BALLARD,973
BALTHASAR,251
BAMBI,696
BANJI,222
BARAKE,473
BARB,244
BARBARA,201
BARBIE,229
BARCLAY,995
BARKE,162
BARNABAS,243
BARNARD,375
BARNEY,762
BARNY,144
BARR,612
BARRAN,762
BARRETTA,401
BARRY,288
BART,10
BARTH,120
BARTHOLEMEW,154
BARTON,181
BARUCH,718
BARY,975
BASH,124
BASIL,58
BAST,34
BASTIEN,233
BAXTER,702
BAYARD,539
